,date_creation,count
501,2018-01-01,483
502,2018-01-01,483
503,2017-01-01,349
504,2017-01-01,349
505,2018-01-01,483
506,2018-01-01,483
507,2018-01-01,483
508,2018-01-01,483
509,2018-01-01,483
510,2018-01-01,483
511,2018-01-01,483
512,2018-01-01,483
513,2018-01-01,483
514,2018-01-01,483
515,2018-01-01,483
516,2018-01-01,483
517,2018-01-01,483
518,2018-01-01,483
519,2018-01-01,483
520,2018-01-01,483
521,2018-01-01,483
522,2018-01-01,483
523,2018-01-01,483
524,2017-01-01,349
525,2017-01-01,349
526,2018-01-01,483
527,2018-01-01,483
528,2018-01-01,483
529,2018-01-01,483
530,2018-01-01,483
531,2018-01-01,483
532,2018-01-01,483
533,2018-01-01,483
534,2018-01-01,483
535,2018-01-01,483
536,2018-01-01,483
537,2018-01-01,483
538,2018-01-01,483
539,2018-01-01,483
540,2018-01-01,483
541,2018-01-01,483
542,2018-01-01,483
543,2018-01-01,483
544,2018-01-01,483
545,2018-01-01,483
546,2018-01-01,483
547,2018-01-01,483
548,2018-01-01,483
549,2018-01-01,483
550,2018-01-01,483
551,2018-01-01,483
552,2018-01-01,483
553,2018-01-01,483
554,2018-01-01,483
555,2018-01-01,483
556,2018-01-01,483
557,2017-01-01,349
558,2017-01-01,349
559,2017-01-01,349
560,2017-01-01,349
561,2017-01-01,349
562,2017-01-01,349
563,2017-01-01,349
564,2017-01-01,349
565,2018-01-01,483
566,2018-01-01,483
567,2018-01-01,483
568,2018-01-01,483
